,ACB,BCM,BID,CTG,DGC,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
ACB,0.00035972707038378686,0.00016218277857720442,0.0002814428342664173,0.0002913788204593502,0.0001878973420982053,0.000189357124130069,0.00016792722203326992,0.00026117121502216754,0.0002603930980438255,0.00022877195432541734,0.0002939760246409755,0.0003013212562940543,0.00016940173891807214,0.00024780157396126547,0.00019175413704457673,0.00010037170025930199,0.00027028636143900303,0.0003084805985904485,0.0003085377218733126,0.000298474845417982,0.0002426781405107526,0.00017337046465728143,0.0001658701511797707,0.00026495696674420417,0.00012891619406840913,0.0001114083596859879,0.00012019435898230769,0.00028816561124347684,0.00019957218561919104
BCM,0.00016218277857720442,0.0006020979914188837,0.00019034425677206333,0.00019330199784399553,0.00021850106127366573,0.00015237162292958546,0.00018617599592152538,0.0002760317343226183,0.00018330107515908935,0.00017002271198619914,0.00016397127809891635,0.0001913140773569186,0.00018137398031246968,0.00023820005674794994,0.00017937154696737458,0.00011273242676361768,0.00017414801957645187,0.00024114249170778228,0.0002080732111953028,0.00019156516998208658,0.00016104903582901065,0.00012462196649544785,0.0001824695073027405,0.00017067010898618544,0.00015083695695242825,0.00011231129723422796,0.00011326131217575503,0.00019557166283501047,0.00022093276210963684
BID,0.0002814428342664173,0.00019034425677206333,0.0005073612069161939,0.0003697029969997038,0.00021217836733797925,0.00020798507409973952,0.00022148821254846512,0.0002896028573011525,0.00029966360888665576,0.0002675145237350486,0.00031644649385400024,0.00033287243766167357,0.00020286114951557877,0.0002970246056860328,0.00023935671017300968,0.0001463488153793256,0.0002873165444365486,0.00035897137908251346,0.000359226764034958,0.0003260066847351577,0.00025295747762761573,0.00022438372687212524,0.00019477467259835393,0.00028025870908292993,0.00016247062583212726,0.00012725337072740103,0.00015007106944070383,0.00032162948661629064,0.0002771620528726263
CTG,0.0002913788204593502,0.00019330199784399553,0.0003697029969997038,0.0004977632951077228,0.000235650685181116,0.00021359519609972835,0.0002064246946465543,0.0003059472760073065,0.0003102291831881029,0.00027523592601243056,0.0003419788337063607,0.0003548558679142486,0.00021294915619263376,0.00028959314828362327,0.00022639026503292145,0.00013058675518645208,0.0003043047254433312,0.0003823291308310855,0.00037404519934242954,0.0003427959326864384,0.0002845158419461688,0.0002108773342272922,0.0002012876893429428,0.00029478625621540095,0.00017268240427640406,0.00011138941369403305,0.00013424194182251126,0.00033547267353782893,0.0002646470635750596
DGC,0.0001878973420982053,0.00021850106127366573,0.00021217836733797925,0.000235650685181116,0.0006686963773379496,0.0002163480118602741,0.00022734727503891884,0.00033767149676296664,0.00019365947120302958,0.000252460513046925,0.0002130576660802706,0.00022654642195935837,0.00022642089842882723,0.0003005181365957675,0.00022624037139839785,9.772364505967986e-05,0.0002169220518784161,0.0003134715139050623,0.00023615628734624826,0.00022992125393737792,0.00019189254432312212,0.00012799753766432905,0.0001435555995736878,0.00020347128627938962,0.00012455472412577006,9.826761113329775e-05,0.00011056218601242907,0.00021006851801179773,0.00018957773521715492
FPT,0.000189357124130069,0.00015237162292958546,0.00020798507409973952,0.00021359519609972835,0.0002163480118602741,0.0003285884728786915,0.00017996919722778907,0.00024157382020000364,0.00019802972899207326,0.00020618093189873237,0.00020849063484781397,0.00020997385110384774,0.0001705870893103938,0.0002442523701804835,0.000178849156548643,0.00010598603776789145,0.00018508786513609106,0.0002594231134799624,0.00022120016325262752,0.0002135335905402611,0.00018085757134884625,0.00012980850422843974,0.0001446049399069659,0.00018130659343125913,0.00011359917900318034,9.523836069786975e-05,0.00011694554742694983,0.0002101533522631022,0.00017144929074939172
GAS,0.00016792722203326992,0.00018617599592152538,0.00022148821254846512,0.0002064246946465543,0.00022734727503891884,0.00017996919722778907,0.0004248727611037926,0.0002519061888703652,0.00018827903355213033,0.0002037478447922952,0.00019060795606634092,0.00019879703312301533,0.00020205966489549444,0.00024570446977012554,0.00025606747110986495,0.00013537462811274845,0.00015422787442759755,0.0002440542454836764,0.00020832795652966804,0.00019826062135686485,0.0001451951011098736,0.00015475104570009178,0.0001575340249618271,0.0001700476430238196,0.00013382884835310094,0.00011049262870816516,0.00012523417604657982,0.00019989528670025111,0.00020434129305518903
GVR,0.00026117121502216754,0.0002760317343226183,0.0002896028573011525,0.0003059472760073065,0.00033767149676296664,0.00024157382020000364,0.0002519061888703652,0.0008600063783598017,0.00026218202738792284,0.00032590728438726445,0.0003206474786208267,0.00030841456391124595,0.000276863495602174,0.00030644278060032546,0.00029901486138821597,0.00013698666050694573,0.0003468337264151743,0.00047132309559998735,0.0003365357672682295,0.0003206669001267434,0.00028276786494631017,0.0001453350014656354,0.00022369753605564548,0.00027328705406832207,0.00017132563395246008,0.00014702925286712266,0.00014591994518525783,0.00030847194003728087,0.0002927217948571534
HDB,0.0002603930980438255,0.00018330107515908935,0.00029966360888665576,0.0003102291831881029,0.00019365947120302958,0.00019802972899207326,0.00018827903355213033,0.00026218202738792284,0.00048596078316240945,0.0002475157508900205,0.0003063957730735884,0.00031519691592694123,0.00018421281465692114,0.0002788503325004814,0.00020949636120038987,0.00012533438338833478,0.00028198826363843194,0.0003342756824551861,0.00033583627874836353,0.00032777845296741394,0.00026953293707426644,0.00019681692321554359,0.00018780992290606843,0.00028086625814543233,0.00016064842469728935,0.00015780618014328205,0.00012681666788917,0.00030735455262638836,0.0002490244954902716
HPG,0.00022877195432541734,0.00017002271198619914,0.0002675145237350486,0.00027523592601243056,0.000252460513046925,0.00020618093189873237,0.0002037478447922952,0.00032590728438726445,0.0002475157508900205,0.0004939175562633031,0.0002589338881548712,0.00028073513897691104,0.0002307924623395881,0.00027988974219246684,0.00021997492807337448,0.00011400533612576481,0.00025560542060486783,0.000390564790035099,0.00029781862012399473,0.0002798425752059488,0.00023217356215436515,0.00016913605110564767,0.00019607185890883617,0.0002542804433591655,0.0001551577939366154,0.00011530369594862474,0.0001228667705311332,0.00027346177035838653,0.0002335613980651557
LPB,0.0002939760246409755,0.00016397127809891635,0.00031644649385400024,0.0003419788337063607,0.0002130576660802706,0.00020849063484781397,0.00019060795606634092,0.0003206474786208267,0.0003063957730735884,0.0002589338881548712,0.0006743547769823081,0.00034945320425166387,0.0001816987253657844,0.00027241926913527736,0.0002095274323247664,0.00011899322374054634,0.00036396400414606016,0.0003760086062524859,0.00040090302962345916,0.00035089206443257836,0.0002732490096062978,0.0001784997091829979,0.00017382243745158035,0.00033828986574517696,0.00014541688601045827,9.205827492143465e-05,0.00012523165812202658,0.0003255971391909584,0.000238684851208577
MBB,0.0003013212562940543,0.0001913140773569186,0.00033287243766167357,0.0003548558679142486,0.00022654642195935837,0.00020997385110384774,0.00019879703312301533,0.00030841456391124595,0.00031519691592694123,0.00028073513897691104,0.00034945320425166387,0.00043254147508488294,0.00020408904089826166,0.0002988346694448608,0.00022828482888953352,0.00011808325434103539,0.00031658300828351423,0.0003782092766868506,0.00037854846020547993,0.0003687017011036537,0.000292082469417923,0.00019777297867951815,0.00019730205224141768,0.00030948554980083547,0.00015317336762847775,0.00012040456510710836,0.00013269558927889218,0.00033611069467923713,0.0002642772084537445
MSN,0.00016940173891807214,0.00018137398031246968,0.00020286114951557877,0.00021294915619263376,0.00022642089842882723,0.0001705870893103938,0.00020205966489549444,0.000276863495602174,0.00018421281465692114,0.0002307924623395881,0.0001816987253657844,0.00020408904089826166,0.0005257665724909083,0.0002670840152572057,0.00018270745961426098,0.00013832898229859165,0.00020925759812037635,0.0002837577313891485,0.00023272369581760042,0.00021448662498635128,0.00018401040543392373,0.00014873153221746507,0.0001883105382963026,0.00017718269955751853,0.00014996160650833693,0.00012457871539843014,0.00012710838348333842,0.0002069431250099527,0.00022544377205743136
MWG,0.00024780157396126547,0.00023820005674794994,0.0002970246056860328,0.00028959314828362327,0.0003005181365957675,0.0002442523701804835,0.00024570446977012554,0.00030644278060032546,0.0002788503325004814,0.00027988974219246684,0.00027241926913527736,0.0002988346694448608,0.0002670840152572057,0.0005700332193029306,0.0002474529988413141,0.00015208318119565268,0.00025478857598922337,0.0003570574594644558,0.00031184978143078304,0.00030904776115037863,0.0002244241578126533,0.0001813813011113284,0.0002191271802142436,0.0002593885808207292,0.00017665019608022653,0.00013904154862477548,0.00014463401925867393,0.00029950534255736305,0.00025739078643604224
PLX,0.00019175413704457673,0.00017937154696737458,0.00023935671017300968,0.00022639026503292145,0.00022624037139839785,0.000178849156548643,0.00025606747110986495,0.00029901486138821597,0.00020949636120038987,0.00021997492807337448,0.0002095274323247664,0.00022828482888953352,0.00018270745961426098,0.0002474529988413141,0.0004300292078821429,0.00012224053458746164,0.00019330649538298514,0.0002771709136789779,0.00022674463933311593,0.00023110823020947802,0.0001633697176003885,0.0001475261845425104,0.00015157454375457652,0.00019045441159618056,0.00013508862930079017,0.00012828320734735888,0.00013133061390686692,0.00022607224990202227,0.0002074774055870791
SAB,0.00010037170025930199,0.00011273242676361768,0.0001463488153793256,0.00013058675518645208,9.772364505967986e-05,0.00010598603776789145,0.00013537462811274845,0.00013698666050694573,0.00012533438338833478,0.00011400533612576481,0.00011899322374054634,0.00011808325434103539,0.00013832898229859165,0.00015208318119565268,0.00012224053458746164,0.0003173892057895577,8.651604768569523e-05,0.00013715063470933031,0.0001238176487857081,0.00012795950633846315,8.787549736713704e-05,0.00010774887279510812,0.00010863625712883048,0.0001191841682000779,0.00010188304266407732,9.931297424723042e-05,0.00010089761581985235,0.00014521831744817155,0.000155328005684451
SHB,0.00027028636143900303,0.00017414801957645187,0.0002873165444365486,0.0003043047254433312,0.0002169220518784161,0.00018508786513609106,0.00015422787442759755,0.0003468337264151743,0.00028198826363843194,0.00025560542060486783,0.00036396400414606016,0.00031658300828351423,0.00020925759812037635,0.00025478857598922337,0.00019330649538298514,8.651604768569523e-05,0.0007448443119577237,0.0003569619815540361,0.0003593221120171073,0.0003064061058307556,0.00027398284593382183,0.00016098662289578268,0.00018404373700337844,0.0002796482976146849,0.0001469786992755081,0.00012241253001266252,0.00011781401292386377,0.0003134372029263923,0.0002260915340336165
SSI,0.0003084805985904485,0.00024114249170778228,0.00035897137908251346,0.0003823291308310855,0.0003134715139050623,0.0002594231134799624,0.0002440542454836764,0.00047132309559998735,0.0003342756824551861,0.000390564790035099,0.0003760086062524859,0.0003782092766868506,0.0002837577313891485,0.0003570574594644558,0.0002771709136789779,0.00013715063470933031,0.0003569619815540361,0.0007657688812865728,0.0004309179065179551,0.0003803025032525644,0.00034039026586464837,0.00019991047838330747,0.00026244103265718753,0.0003429307514236956,0.00020452102971953135,0.00015564797812116267,0.00016550557584967397,0.00036783226640908713,0.00033291264530244336
STB,0.0003085377218733126,0.0002080732111953028,0.000359226764034958,0.00037404519934242954,0.00023615628734624826,0.00022120016325262752,0.00020832795652966804,0.0003365357672682295,0.00033583627874836353,0.00029781862012399473,0.00040090302962345916,0.00037854846020547993,0.00023272369581760042,0.00031184978143078304,0.00022674463933311593,0.0001238176487857081,0.0003593221120171073,0.0004309179065179551,0.0006409757436447818,0.00038838570369009533,0.00031980862978899156,0.00018850192876859382,0.00022219969103340256,0.00033942775217674705,0.0001563030110867584,0.00011596389214276263,0.0001402879300019154,0.00035728575820974346,0.0002856990709417727
TCB,0.000298474845417982,0.00019156516998208658,0.0003260066847351577,0.0003427959326864384,0.00022992125393737792,0.0002135335905402611,0.00019826062135686485,0.0003206669001267434,0.00032777845296741394,0.0002798425752059488,0.00035089206443257836,0.0003687017011036537,0.00021448662498635128,0.00030904776115037863,0.00023110823020947802,0.00012795950633846315,0.0003064061058307556,0.0003803025032525644,0.00038838570369009533,0.0004942615383670355,0.0002984820504849658,0.0001920328578171497,0.00021425630974665307,0.0003161073482274771,0.00016932615348690233,0.00013117702453665164,0.00013483589441296487,0.0003591173744305168,0.0002777587276233179
TPB,0.0002426781405107526,0.00016104903582901065,0.00025295747762761573,0.0002845158419461688,0.00019189254432312212,0.00018085757134884625,0.0001451951011098736,0.00028276786494631017,0.00026953293707426644,0.00023217356215436515,0.0002732490096062978,0.000292082469417923,0.00018401040543392373,0.0002244241578126533,0.0001633697176003885,8.787549736713704e-05,0.00027398284593382183,0.00034039026586464837,0.00031980862978899156,0.0002984820504849658,0.0004810176063435747,0.0001396839444375781,0.00016336672447818442,0.0002674069957636446,0.00010976948300664794,9.223388946670687e-05,0.00010610694062427223,0.00030220170396524053,0.00021023346833939644
VCB,0.00017337046465728143,0.00012462196649544785,0.00022438372687212524,0.0002108773342272922,0.00012799753766432905,0.00012980850422843974,0.00015475104570009178,0.0001453350014656354,0.00019681692321554359,0.00016913605110564767,0.0001784997091829979,0.00019777297867951815,0.00014873153221746507,0.0001813813011113284,0.0001475261845425104,0.00010774887279510812,0.00016098662289578268,0.00019991047838330747,0.00018850192876859382,0.0001920328578171497,0.0001396839444375781,0.00029341772453494053,0.0001542447875204335,0.000172779424003531,0.00012562497903629934,0.00011018958244722128,0.00011552330258904934,0.0001896470971273668,0.00019601240202121639
VHM,0.0001658701511797707,0.0001824695073027405,0.00019477467259835393,0.0002012876893429428,0.0001435555995736878,0.0001446049399069659,0.0001575340249618271,0.00022369753605564548,0.00018780992290606843,0.00019607185890883617,0.00017382243745158035,0.00019730205224141768,0.0001883105382963026,0.0002191271802142436,0.00015157454375457652,0.00010863625712883048,0.00018404373700337844,0.00026244103265718753,0.00022219969103340256,0.00021425630974665307,0.00016336672447818442,0.0001542447875204335,0.00047190420898310284,0.00016175798066244364,0.00029952936479245496,0.00011056668924230586,0.00012040801497546826,0.00019962867741691115,0.0003343223054035789
VIB,0.00026495696674420417,0.00017067010898618544,0.00028025870908292993,0.00029478625621540095,0.00020347128627938962,0.00018130659343125913,0.0001700476430238196,0.00027328705406832207,0.00028086625814543233,0.0002542804433591655,0.00033828986574517696,0.00030948554980083547,0.00017718269955751853,0.0002593885808207292,0.00019045441159618056,0.0001191841682000779,0.0002796482976146849,0.0003429307514236956,0.00033942775217674705,0.0003161073482274771,0.0002674069957636446,0.000172779424003531,0.00016175798066244364,0.00047255151289890134,0.00013426014712972795,9.814191619493988e-05,0.00011582926718349563,0.0003226012604745949,0.00021943557575361736
VIC,0.00012891619406840913,0.00015083695695242825,0.00016247062583212726,0.00017268240427640406,0.00012455472412577006,0.00011359917900318034,0.00013382884835310094,0.00017132563395246008,0.00016064842469728935,0.0001551577939366154,0.00014541688601045827,0.00015317336762847775,0.00014996160650833693,0.00017665019608022653,0.00013508862930079017,0.00010188304266407732,0.0001469786992755081,0.00020452102971953135,0.0001563030110867584,0.00016932615348690233,0.00010976948300664794,0.00012562497903629934,0.00029952936479245496,0.00013426014712972795,0.00048193427781726865,0.00011083806761414461,0.00010456910393335584,0.00015529985001841857,0.0002776196089861091
VJC,0.0001114083596859879,0.00011231129723422796,0.00012725337072740103,0.00011138941369403305,9.826761113329775e-05,9.523836069786975e-05,0.00011049262870816516,0.00014702925286712266,0.00015780618014328205,0.00011530369594862474,9.205827492143465e-05,0.00012040456510710836,0.00012457871539843014,0.00013904154862477548,0.00012828320734735888,9.931297424723042e-05,0.00012241253001266252,0.00015564797812116267,0.00011596389214276263,0.00013117702453665164,9.223388946670687e-05,0.00011018958244722128,0.00011056668924230586,9.814191619493988e-05,0.00011083806761414461,0.00032038082296069595,9.312202426756565e-05,0.00013713946278053413,0.0001398801823052161
VNM,0.00012019435898230769,0.00011326131217575503,0.00015007106944070383,0.00013424194182251126,0.00011056218601242907,0.00011694554742694983,0.00012523417604657982,0.00014591994518525783,0.00012681666788917,0.0001228667705311332,0.00012523165812202658,0.00013269558927889218,0.00012710838348333842,0.00014463401925867393,0.00013133061390686692,0.00010089761581985235,0.00011781401292386377,0.00016550557584967397,0.0001402879300019154,0.00013483589441296487,0.00010610694062427223,0.00011552330258904934,0.00012040801497546826,0.00011582926718349563,0.00010456910393335584,9.312202426756565e-05,0.0002339737369341042,0.00013942574255637139,0.00014938727611031466
VPB,0.00028816561124347684,0.00019557166283501047,0.00032162948661629064,0.00033547267353782893,0.00021006851801179773,0.0002101533522631022,0.00019989528670025111,0.00030847194003728087,0.00030735455262638836,0.00027346177035838653,0.0003255971391909584,0.00033611069467923713,0.0002069431250099527,0.00029950534255736305,0.00022607224990202227,0.00014521831744817155,0.0003134372029263923,0.00036783226640908713,0.00035728575820974346,0.0003591173744305168,0.00030220170396524053,0.0001896470971273668,0.00019962867741691115,0.0003226012604745949,0.00015529985001841857,0.00013713946278053413,0.00013942574255637139,0.0005438012287709324,0.00027312822078485896
VRE,0.00019957218561919104,0.00022093276210963684,0.0002771620528726263,0.0002646470635750596,0.00018957773521715492,0.00017144929074939172,0.00020434129305518903,0.0002927217948571534,0.0002490244954902716,0.0002335613980651557,0.000238684851208577,0.0002642772084537445,0.00022544377205743136,0.00025739078643604224,0.0002074774055870791,0.000155328005684451,0.0002260915340336165,0.00033291264530244336,0.0002856990709417727,0.0002777587276233179,0.00021023346833939644,0.00019601240202121639,0.0003343223054035789,0.00021943557575361736,0.0002776196089861091,0.0001398801823052161,0.00014938727611031466,0.00027312822078485896,0.0006183684730912056
